Headline,URL
Netanyahu walks tightrope as US urges Gaza ceasefire deal,https://www.bbc.com/news/articles/c511vl9yjwwo
Gaza ceasefire plan turns into deadly game of survival,https://www.bbc.com/news/articles/c6ppn8nyv1do
Blinken in Middle East pushes Gaza ceasefire deal,https://www.bbc.com/news/articles/c722vw7g41wo
Netanyahu walks tightrope as US urges Gaza ceasefire deal,https://www.bbc.com/news/articles/c511vl9yjwwo
How Gaza hostage raid ended with  Israel striking crowded streets,https://www.bbc.com/news/articles/cv22xvp90nlo
UN Disabilities Convention 'should be a priority',https://www.bbc.com/news/articles/cw55rpp1d74o
G7: What could it do about Ukraine and Gaza?,https://www.bbc.com/news/world-49434667
Israel buoyed by hostage rescue - but way ahead still fraught,https://www.bbc.com/news/articles/c988pv7d9xvo
Barclays branches across UK targeted by protesters,https://www.bbc.com/news/articles/c1rrzp1qwp1o
Jewish students 'terrified' of Gaza war protests,https://www.bbc.com/news/articles/cjee11jw28ro
